After iteration 0:
Gaussian 1: mean = 4861.6657, variance = 8393469.5491, prior = 0.1120
Gaussian 2: mean = 4555.0069, variance = 8173876.4595, prior = 0.1110
Gaussian 3: mean = 5326.5038, variance = 9061547.9491, prior = 0.1110
Gaussian 4: mean = 4691.0243, variance = 7619733.7417, prior = 0.1110
Gaussian 5: mean = 5238.2995, variance = 8188293.0230, prior = 0.1110
Gaussian 6: mean = 4847.7845, variance = 7456085.0449, prior = 0.1110
Gaussian 7: mean = 4917.6077, variance = 8688564.3590, prior = 0.1110
Gaussian 8: mean = 5114.6398, variance = 6650164.7253, prior = 0.1110
Gaussian 9: mean = 4990.7900, variance = 8365865.6575, prior = 0.1110

After iteration 1:
Gaussian 1: mean = 4867.7589, variance = 8238623.6207, prior = 0.1121
Gaussian 2: mean = 4560.8711, variance = 8025469.8904, prior = 0.1111
Gaussian 3: mean = 5312.6985, variance = 8468069.5358, prior = 0.1109
Gaussian 4: mean = 4679.9157, variance = 7846663.7369, prior = 0.1111
Gaussian 5: mean = 5240.6827, variance = 8159393.4498, prior = 0.1111
Gaussian 6: mean = 4839.2705, variance = 7824734.7120, prior = 0.1110
Gaussian 7: mean = 4925.6686, variance = 8362627.6889, prior = 0.1111
Gaussian 8: mean = 5123.1636, variance = 7426769.0903, prior = 0.1105
Gaussian 9: mean = 4994.5356, variance = 8247267.5303, prior = 0.1111

After iteration 2:
Gaussian 1: mean = 4870.6404, variance = 8159849.9195, prior = 0.1121
Gaussian 2: mean = 4561.0606, variance = 7947051.1205, prior = 0.1111
Gaussian 3: mean = 5307.9103, variance = 8236135.9204, prior = 0.1109
Gaussian 4: mean = 4674.4405, variance = 7928743.7178, prior = 0.1111
Gaussian 5: mean = 5241.6713, variance = 8129888.7146, prior = 0.1112
Gaussian 6: mean = 4835.7306, variance = 7976178.6334, prior = 0.1110
Gaussian 7: mean = 4929.2364, variance = 8220670.3697, prior = 0.1111
Gaussian 8: mean = 5127.6897, variance = 7819405.1533, prior = 0.1103
Gaussian 9: mean = 4996.4162, variance = 8182299.9543, prior = 0.1111

After iteration 3:
